,count,hate_speech,offensive_language,neither,class,tweet
135,6,0,3,5,2,"chala bagundi, trailer eppudu vidudalavutundi?"
136,3,0,3,5,2,Anyone here after BIGIL'S WASTE trailer??? Bigil-dislike KAITHI-LIKE
137,3,0,6,5,2,1:23 ki annee Gubeer nu navvutu unnaru
138,3,1,2,5,2,"Meeru navvalu, Vikram Malayalam lo matladuthunnaadu.. Adi mass undi"
139,6,1,2,5,2,can not wait for thala movie ................v love thalaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
141,3,0,1,5,2,"appudu, e roju mariyu eppatiki, prathi mass thaw....."
142,3,0,2,5,2,Motham 4.9K Rajini abhimaanulu danini anaakarinchāru
143,3,0,3,5,2,mahillapai cheyi veste tala narikeyadamlo tappemi ledhu.
144,3,1,2,5,2,Suriya Anna Acting Veraa levelu movie
145,3,0,3,5,2,Elanti jagalatmaka nirnayalu pettakunda Tamil cinema mana hrudayalu gelavindi. Logo copy teesukondi mariyu Krish cinemani Telugulo theeyandi
146,3,0,3,5,2,"Idi 'Nerkonda Paarvai' ani pilavabadutundi. Ayyo, ikkada yuddham cheyakunda undukokudadu. Idi kewalam pink copy matrame. Idi CRT avutundi"
147,3,0,3,5,2,yova cinema maro range lo hit kabothondi.
148,3,0,2,5,2,super star k ikaa karagadaniki matalu levu.
149,3,0,3,5,2,Vera levelu Surya Anna pakka mass .....
150,3,0,3,5,2,enger peru batch lo vundi anipistundi. meeru evarini chudavachcho
151,3,0,3,5,2,super g chetan ranjith kukka
152,3,0,3,5,2,"1:30hr 85k+ likes..... but views hanged in 20,192 views....... nayakudu..... Ur Great......."
153,3,0,3,5,2,Look me reality nhi dikh rhi h lag raha vfx plus makeup h😂 🤣
154,6,0,3,5,2,"ajith ki nachaledu kani Worst BGM, hero hrudayaniki daggaraga unde brailer chicken taraha Screenplay Hollywood washed Scenes , grounds pindi naku antaga nachchaledu."
155,4,0,3,5,2,na valla kavatledhu nayakuda vachi nive ennukovachu
156,3,0,3,5,2,riginal - Pink Remake - vakra drusti But Ajith Kumar acting is Killer
157,3,0,1,5,2,tala e look la adaragottav
158,6,0,3,5,2,la chese dhairyam talavara kalaikiradaku vundi... okati 100 kotla madhya... 90s kids
159,3,0,6,5,2,Nayakudaaaaaaaaaaaaaa............................1000 times better than Buy Ravaa
160,3,3,2,5,2,maviran jilla nunchi e cinema vijayavantham cavalani korukuntunnanu.
161,3,0,1,5,2,Editing krne vale ko 21 topoo ki slami
162,3,0,1,5,2,e samayamlo meeranta enduku korukuntunnaru? usuru kosam poradite kulamlo deniki prayojanam undadu. manamandaram manushulame.
163,3,1,2,5,2,"chavu kosam eduru chustunna surya fans, surya is back"
164,3,0,3,5,2,e cinema flop avutunda? kanniruchesukunna shivakartikeyan.
165,3,0,3,5,2,mahabharatam tarvata draupadini gambhiranga chudataniki chetulu upam.
166,3,0,3,5,2,nup kota mortu singam la ani nammali.
167,3,1,2,5,2,e cinema enno records create chestundi. e cinema super duper hittayindi.
168,3,0,3,5,2,meeku nachchani rajini abhimanulu unnara? akkada unna e vyakhya aham chandra nachadu mariyu nijam cheduga untundi.
169,3,0,3,5,2,super adi chala andanga untundi. nenu vechi unnanu
170,3,1,2,5,2,Veeram 2 chesukovadam anukunna vaaru dayachesi like cheyandi
171,3,0,3,5,2,ala total ga  kabali cinema kantiki reppala chimmuthundi.
172,3,0,3,5,2,veedu asathyam palikedenti yeppudu
173,3,0,3,5,2,##chitram 100 rojulu nadustunnai....Tirumavalavan laanti nechamaina vyakthini kruranga champaali.....
174,6,0,3,5,2,Who feeled viswasam bgm...in between ...??
175,3,0,3,5,2,I'm not a hater but vivegam chala  chetta movie da.
176,3,0,3,5,2,If in malayalam version ' ' ippudem cheddam??? koddiga ganji thisukondi....
177,3,0,3,5,2,Nenu Tamilnadu ki vellutunnaanu. Thala Ajith peru joarugaa perkonutaku evadu adduku gaalaru
178,3,0,3,5,2,rendelluga trailer matrame chustunnaru.
179,3,0,6,5,2,sahoo tamil teaser 12 million views  nkp kevalam 8
180,3,0,3,5,2,Adi padi mandiki migilindi. 50 saarlu paiki choodandi mariyu like cheyakapovadaniki mareno mareno choodandi
181,3,0,1,5,2,peta parag like naa padai kosam kundeelu ishtam ledhu
182,3,0,1,5,2,aa vyaktini nene champanivvanu.
183,3,0,3,5,2,nenu yadavan naa community yokka sarpaka ipa chitram vijayayam sadhinchinanduku abhinandana
184,3,0,1,5,2,is it look like ponniyin selvan story?
185,3,0,3,5,2,"Hip hop Aadhi neti nunchi ayanam hip hop arthur, jackwin aadi ani apyayanga piluchukuntaru."
186,3,0,3,5,2,e karananga mana poorvikulu vaari velupalli nivasistunnaru .....
187,3,0,2,5,2,"trailer different level lo vundi ajith sar e sinimalo unnadu, andariki, siva saar chandra thanks."
188,3,0,1,5,2,"nenu aaharaniki abhimanini ani nenu miku chebutanu, naa kallu ibbandi paduthunnayi"
189,3,0,1,5,2,super trailer surya abhimanula tarupun abhinandanalu
190,3,0,3,5,2,Hi  very. Super. Trailer move
191,3,0,3,5,2,p.r. darshakudu ekkada.idi attani oka nirdishta samajikavargam dadi. nataka prema brundam
192,3,0,3,5,2,e pongal manako sankalanam
193,3,1,2,5,2,thirukkadaiur vanniyar prajala tarafun #director e chitram ghanavijayam sadhinchalani aakankshincharu.
194,3,0,3,5,2,adhbutham movie thalaivaa... nuvvu ala chesavu... madurai devas tarafun abhinandana...
195,3,0,3,5,2,Ultimate fighting teaser la undhi adhbutham  good iam Surya Anna fans
196,3,0,3,5,2,Trailer mass ga undhi ippudu movie ela untundhi Iam waiting for comali
197,3,1,2,5,2,dhanush natana rakshasudu. idi vetrimaran srushti.
198,3,1,2,5,2,adi kuda ante. cinema super hittu
199,6,0,3,5,2,madurai nayakar community tarafun e cinema vijayam sadhinchalani aakankshincharu.
200,3,0,0,5,2,kulam peruto neecha rajakeeyalu chestu jeevanam sagistunna nirupedalaku e cinema gunapatham kavali.
201,3,0,0,5,2,Ayyan 2 fans likes here u
202,3,0,0,5,2,Dislike evaru comment cheyabothunnaru...
203,3,0,0,5,2,All best to 2.0 from addalu....super star rajani sir
204,3,0,0,5,2,Surya sir ur just awesome
205,3,0,0,5,2,"drama love companion nasanam cheyadaniki vachindi... draupadi devendrakulavelar prajala tarafun abhinandana. devatha ranivvoddu, devendrakulavelar ammayi chalu - devendruni koduku"
206,3,0,0,5,2,Daya cheyandi Thala Ajith abhimaniki uurati ivvandi. Anavashyakamga avanni nindini nijayyanga cheppadam ledu. Vaadu unnaam ane ansham lo nenu avanni kalisi choodalanu mariyu antae untaam
207,3,0,0,5,2,trailer lo dadapu elanti kathanaina aavishkaristu siniman sasinchagaladu mani saar matrame.
208,3,0,0,5,2,entha mandhi 24th ki chavadaniki waiting
209,6,0,0,5,2,Remake of Hindi movie pink.good one.
210,3,0,0,5,2,Surya sir   Singam look like original lion
211,3,0,0,5,2,"Naayakudiga adbhutamainadi mariyu adbhutamainadi. Ee daari lo mundukocchinanduku maa parishramalu velugu pettukonnnayi. Yuvimusic, meeru baaga chesaaru"
212,3,0,0,5,2,aiyyo thala  you will see my rage
213,3,0,0,5,2,761 k likes reached untundhi
214,3,0,0,5,2,Idi jaragakudadu mariyu ee scene pai theatre-lo choopinchakudadu
215,3,0,0,5,2,Gvp bgm asalu adhbutham
216,3,0,0,5,2,#1 trending No.1 In Andhra and Telangana
217,3,0,0,5,2,Nice teaser... Keep it up....kani anjaan cinema work lantidi....
218,3,0,0,5,2,u1& selvaragavan Vera level compo.....
219,3,0,0,5,2,jayam ravi fan from andhra pradesh
220,3,0,0,5,2,uma ante ento artham chesukondi sunny ante ento
221,6,0,0,5,2,adbhutam...adbhutam...I support...support pandravanga hit like
222,6,0,0,5,2,super thitlu la pakka mass lage untundhi
223,3,0,0,5,2,"kotha prayatnaniki swagatam, idi konchem arthamaite baguntundi..."
224,3,0,0,5,2,Class + Mass + Thala + Yuvan
225,3,0,0,5,2,anthanku minchi ra...Marana waiting..
226,3,0,0,5,2,Thalaaaaaa I love you SK SIVAKARTHIKEYAN Anna fans
227,3,0,0,5,2,Iam Vijay fan..but surya Anna always mass
228,3,0,0,5,2,"komala amma ra, enduku padukunnavu, noru musukuni look marchukuntunnaavu"
229,3,0,0,5,2,Looks like good movie for diwali
230,3,0,0,5,2,"Hey, why don't you post any good memes? This is the worst"
231,3,0,0,5,2,It is like the Pollachi issue in the movie :) Acting like love when in love.
232,3,0,0,5,2,malli malli chudalani trailer kosam eduruchustu...
233,3,0,0,5,2,raviki kuda e chitraniki subhakankshalu
234,3,0,0,5,2,"How were the movies released when we, the 90s kids, were young?"
235,3,0,0,5,2,"Brother Vijay Sethupathi, your voice is amazing. Congratulations on the success of your movies."
236,3,0,0,5,2,"If you think Thala's look is awesome, please like this."
237,3,0,0,5,2,The last background music in the movie GV is amazing.
238,3,0,0,5,2,I thought she was a friend who gives likes on Facebook. She should give me a life
239,3,0,0,5,2,Yuvan Anna has done a great job in the ending
240,3,0,0,5,2,e chitram evan s.rajashekar villupuram bjp city youth lo villupurannu popular chesina sibbandi andariki dhanyavaadaalu teliyajestunnaanu
241,6,0,0,5,2,WELL BOYS 1 CRORE VIEWS IN  7 DAYS   AND LIKES MORE BREAK BAAHUBALI 2  GIVE UP
242,3,0,0,5,2,selam jilla tarapuna cinema vijayam sadhinchalani korukuntunnanu
243,3,0,0,5,2,What is this story? The movie that portrays women empowerment is excellent. Why is there a mention of caste in it
244,3,0,0,5,2,Traffic is so heavy that it will take a long time to reach even if I start now.
245,3,0,0,5,2,"People who dislike are like stray dogs, poor things, they are so desperate that they resort to disliking."
246,3,0,0,5,2,e videoni community prajalandaru adaristarani ashistunnanu. nenu chusanu kani..........?
247,3,0,0,5,2,Vikaram sir+ bgm gaddi prasiddhi chendindi .marana mass waiting
248,3,0,0,5,2,adanta jargakoodadu thala it's right...........
250,3,0,0,5,2,A one day will be Hollywood defeated by Bollywood
251,3,0,0,5,2,yogibabu hair cut climax scene
252,3,0,0,5,2,Trailer 500k likes raavalaanukuntunna vaaru ee post ni like cheyandi.
253,3,0,0,5,2,ajith fans 10  views kosam maa daggaraku ravalsina avasaram ledhu.
254,3,0,0,5,2,Isse achha sonakshi ko le leta ... Bsdk Director ....Itna paisa bach jata
255,3,0,0,5,2,"Thalapathi maas antae adbhutham, khachithamga (#thaay tandhri vijay) -- (#amma appa thalapathi). Marinni evaru ade prakaram untaaru"
256,3,0,0,5,2,surya different look. yuvan vedhimpulu bgm.. cinema choodalsinde..
257,3,0,0,5,2,yuan nayakudini evaru miss avutunnaru
258,3,0,0,5,2,One more 300c film to telugucinema
259,3,0,0,5,2,Nani movie super raa
260,3,0,0,5,2,super rajini saar trailer chala special ga vundi  #FlimsyMedia #FlimsyMedia #FlimsyMedia
261,3,0,0,5,2,"idi venuka unna puttumacha vale sahayapaduthundi, idi kantiki kanipinchadu."
262,3,0,0,5,2,"Jeyam Ravi mariyu Madhavan unte, marikonta black lu kanipistayi. Jeyam Ravi mariyu Madhavan tanikhi manoranjana garanti istaru"
263,3,0,0,5,2,natudu raghuvaran abhiman sangam tarafun... cappan vijayayam sadhinchinanduku abhinandana
264,3,0,0,5,2,misai murukku malim cinema vastunda? HIP HOP situational script thisukovdaniki pratyamnayam?.. .doubtyy
265,3,0,0,5,2,Ilaanti cinema hit avvalante adhi prajale ne chesukovali
266,3,0,0,5,2,Cara muito bom!!!!! Não deixe de ver!!!!
267,3,0,0,5,2,Chiyan vikram  adbhuthamaina style  waiting for kadaram kondan
268,3,0,0,5,2,pongal mata kosam madurai mandabotondi
269,3,0,0,5,2,hey ilayaraja.... ippudu ekkadiki veltunnaru...? nee magatanam.... beethoven music botranu kollagottindi...Natanamayuri
270,3,0,0,5,2,"command chadavadaniki, chadavadaniki vere level vundi meghan anna. cinema ghana vijayam sadhinchinanduku subhakankshalu teliparu. mailadudurai vanniyar sangham , pattali makkal katchi and social justice improve meant association."
271,3,0,0,5,2,"Night lo 10 million views 800k likes vachhela chepparu, like cheyyandi"
272,3,0,0,5,2,Jagath lo chala asahyamaina  fans ee Vj Fans maatrame....Indhulo pedha asahyam ento telusa
273,3,0,0,5,2,super nayakudu surya surya surya surya
274,3,0,0,5,2,"Ilaanti padam kaani, nishchitanga, crime story laanti katha undaali."
275,3,0,0,5,2,"2:18... Awwwwww... Eppudu chusina, mee style super cute ga undhi... Manalni navvisthu unna style, alaristhu unna style, marenno manchi manchi styles unna meeke undali."
276,3,0,0,5,2,"Hahaha super comedy ga undhi.. Aji singing sng,"
277,3,0,0,5,2,hahaha kali ko 1 aur janam lena honga nawazzuddin ko takker dene kd liye. poda kali
278,3,0,0,5,2,More than 20 times chusinavallu maatrame like cheyandi
279,3,0,0,5,2,Pink remake .. worst dialogue ever
280,3,0,0,5,2,"rey koshvik, atanu entha goppa vyakti . avunu, nenu oka document, meeku kopanga vundi."
281,3,0,0,5,2,Idhi inka koncham time lo bigil ni beat chestundhi
283,3,0,0,5,2,thirunalveli tenkasi mukkulathu bandhuvula tarafun e cinema vijayayam sadhinchinanduku abhinandana.
284,3,0,0,5,2,"Bagundhi, manchi social message cinemaa. Vicchedalu cheppakunda chudandi"
285,3,0,0,5,2,Super I am waiting Nani movie
286,3,0,0,5,2,pollachchi wrap gang gurinchi emina dialogue undhaa? tanu nizanga premisthunnanani cheppi atyacaraniki palpadatanni video thisinappudu daani gurinchi enduku matladaledu????
287,3,0,0,5,2,anni parties support chestunte okka vargam matrame ednustondi....!! ala eduddam..!! congrats mohan bhayya..!!
288,3,0,0,5,2,"SK anna eppatiki massulu ledu, Arjun sir kuda massu lekunda unnaru kani, antaram padhihith padhihith hit avutunnaru."
289,3,0,0,5,2,pasupuku vellalar community tarafun abhinandana teliparu. k.manivannan jilla counselor nagapatnam
290,3,0,0,5,2,"idi mailurayiga nilichina miskin, uday laku subhakankshalu"
291,3,0,0,5,2,Harishjayaraj music adhbutham. I like it. Surya is back!!!
292,3,0,0,5,2,Like only vijayayam maaran... waiting
293,3,0,0,5,2,atyuttama nanyata kaligina sanghatana ippatiki vundi
294,4,0,0,5,2,tappakunda hit ayye maa cinema
295,3,0,0,5,2,saralarekhato vision vidudala kosam eduruchupulu
296,4,0,0,5,2,asusual tata sumo and running camera
297,3,0,0,5,2,Thalaivaaa... Enti thalaivaaaa graphics idhiii.....really dissapointed
298,3,0,0,5,2,"Lakshyamki tatukovadam konni samayalu tagulutundi, kani thiragadam sadhyam avutundi"
299,4,0,0,5,2,Antha ok but Super Hero ki voice matram chinnaga vere mari undi.
300,3,0,0,5,2,Chiyaan Anna super stylish ga untaaru
301,3,0,0,5,2,madurai jilla chettiyar sangam tarapuna subhakankshalu
302,3,0,0,5,2,Thala is looking extremely stylish and impressive.
304,3,0,0,5,2,"peru save avutundi, kani chitram bambuto nasanam cheyabaduthundi."
305,3,0,0,5,2,Rajini dialogue is very entertaining and humorous
306,6,0,0,5,2,tana inti ammayiki pakkinti ammayi vaddu....... cinema vijayam sadhinchalani chettiyar prajalandari tarapuna korukuntunnanu......
307,3,0,0,5,2,Our Thalapathy said: Education is important.
308,3,0,0,5,2,For haters asuran pariyerumperumal madras attakatti kaala e cinema shooting samayamlo ekkadunnaavu.....
309,3,0,0,5,2,20k dislikes are Anil pottollu
310,3,0,0,5,2,NEXT MILE STONE 10m views and 250k Likes WE ARE WAITING!!!!!!!
311,3,0,0,5,2,Surya anna masss i love you
312,4,0,0,5,2,"Her entry will be impressive, and her smile will be stunning."
313,3,0,0,5,2,The trailer looks fantastic! The movie should be released soon.
314,3,0,0,5,2,"Oh, Thookudurai is now a lawyer? If the director is Siva, then the movie should be good. It will be a thrilling and entertaining watch."
315,3,0,0,5,2,akkadnunchi support.... ikkadi nunchi support.... ila payal anta ekamai vyatirekistunnaru.. entha darunam.....?????
316,3,0,0,5,2,Draupati is good...kaani adhe samayamlo 
317,3,0,0,5,2,"0.48 0.49 Thalaiva you look like you're 53 years old, haha!"
